# author: Fabian F. Weiland, Dec. 2024,
# runtime in ms for mergeSort
Problem Size,conc-1,conc-4,conc-9,conc-15,conc-40,conc-60
16,2.802424,1.486327,1.086498,1.004687,0.923884,0.919187
32,5.549237,2.287501,1.631870,1.716609,1.872572,1.814153
64,11.527129,4.576337,3.259084,3.129112,3.493341,3.633767
128,23.907276,9.266938,6.064095,6.068109,6.525406,6.858895
265,49.538976,18.851000,11.587203,11.615372,12.582788,13.139319
